"expedition_name"	"latitude"	"longitude"	"lower_elevation"	"upper_elevation"	"locality_id"	"collector_number"	"species_epithet"	"habitat1"	"flower_color"	"phyllotaxy"	"tube_lo"	"tube_hi"	"meantube"	"beak_lo"	"beak_hi"	"meanbeak"	"nectar"	"beehav"	"stigmapos"	"habitat2"	"microhabitat"	"plant_description"	"locality_habitat"					
"1997 W Sichuan (A, CDBI)"	30.85	101.28	3490	3550	41	27709	"cranolopha"	"meadow"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"	"open"	"Grazed grassy meadow"	"Corolla yellow, lip deeper yellow"	"Mixed Picea, Abies and Quercus forests and adjacent grazed meadows"					
"1997 W Sichuan (A, CDBI)"	31.66	100.71	3500	0	43	27778	"semitorta"	"forest"	"red"	0	10	11	10.5	5	7	6	0	1	"T-lateral"	"shade"	"Steep slope"	"Flowers deep pink"	"Mixed forest of Picea, Abies and broadleaved deciduous trees along stream"					
"1997 W Sichuan (A, CDBI)"	31.66	100.71	3500	0	43	27821	"cranolopha"	"forest"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"	"open"	"Dryish slopes and rocky outcrops above river"	"Corolla yellow, tube slightly paler yellow"	"Mixed forest of Picea, Abies and broadleaved deciduous trees along stream"					
"1997 W Sichuan (A, CDBI)"	31.66	100.71	3500	0	43	27822	"semitorta"	"forest"	"red"	0	10	11	10.5	5	7	6	0	1	"T-lateral"	"open"	"Dryish slopes and rocky outcrops above river"	"Corolla lobes dark purple, beak darker purple, tube paler, nearly white"	"Mixed forest of Picea, Abies and broadleaved deciduous trees along stream"					
"1997 W Sichuan (A, CDBI)"	31.66	100.71	3500	0	43	27832	"decorissima"	"forest"	"red"	1	90		90	1		1	0	1	"T-lateral"	"shade"	"Under Picea"	"Corolla tube white at base, pale purple at apex, corolla lobes pale purple, beak dark purple"	"Mixed forest of Picea, Abies and broadleaved deciduous trees along stream"					
"1997 W Sichuan (A, CDBI)"	31.7	100.71	3620	0	44	27825	"decorissima"	"forest"	"red"	1	90		90	1		1	0	1	"T-lateral"	"open"	"Near river"	"Corolla tube pale, ventral corolla lobes pink, upper corolla lobe purple"	"Mixed forest of Picea and Abies with occasional Cupressus, Juniperus and Betula along stream"					
"1997 W Sichuan (A, CDBI)"	31.53	100.7	3100	0	45	27815	"cristatella"	"scrub"	"red, white"	0	8	9	8.5	6	7	6.5	0	0	"DA"	"shade"	"Shaded, moist slope in thicket"	"Main part of tube white, ventral three corolla lobes pink, hood deep pink"	"Mixed shrub thicket along with Lonicera, Syringa, Philadelphus, and occasional small trees of Sorbus and Betula"					
"1997 W Sichuan (A, CDBI)"	31.51	100.7	3050	0	46	27840	"cristatella"	"forest"	"white"	0	8	9	8.5	6	7	6.5	0	0	"DA"	"scrub"	"Dry, shrub covered slope"	"Scattered among shrubs"	" corolla white, lower corolla lobes pale pink, beak dark pink"	" calyx translucent"	"Mixed forest of Picea and Betula on steep slope on west side of river, scrub thickets on east side of river over limestone"			
"1997 W Sichuan (A, CDBI)"	31.73	100.74	3800	0	47	27839	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"	"shade"	"Moist places around seepage at base of shrubs"	"Corolla pinkish purple, white in throat"	"Gravelly slope above road and below grazed meadow"					
"1997 W Sichuan (A, CDBI)"	31.73	100.74	4050	0	48	27831	"tatsienensis"	"meadow"	"red, white"	0	12		12	2	3	2.5	0	0	"DA"		"Heavily grazed meadow"	"Scattered in grazed meadow"	" throat of corolla white, lower corolla lobes purple, beak dark purple"	"Stony roadside and adjacent heavily grazed meadow"				
"1997 W Sichuan (A, CDBI)"	31.73	100.74	4050	0	48	27835	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"		"Grazed meadow"	"Corolla pale yellow"	"Stony roadside and adjacent heavily grazed meadow"					
"1997 W Sichuan (A, CDBI)"	31.73	100.74	4050	0	48	27836	"souliei"	"meadow"	"red, white"	1	5	7	6	7		7	0	1	"VT"		"On grazed slope below road."	"Corolla white in center, pink toward outside, beak dark pink."	"Stony roadside and adjacent heavily grazed meadow"					
"1997 W Sichuan (A, CDBI)"	31.73	100.74	4050	0	48	27837	"anthemifolia"	"meadow"	"red"	0	10		12.5	0		0	1	0	"VA"		"On slope among rocks"	"Corolla pale pink, lower corolla lobes streaked with dark purple"	"Stony roadside and adjacent heavily grazed meadow"					
"1997 W Sichuan (A, CDBI)"	31.71	102.31	3950	4150	53	27898	"metaszetschuanica"	"meadow"	"red"	0	7		7	0		0	0	0	"DA"		"Grazed areas on south side of ridge"	"Plants scattered"	" corolla pink"	"Grassy meadow on south side of ridge"	" Rhododendron thickets giving way to Abies forest with decreasing elevation on north side of ridge"			
"1997 W Sichuan (A, CDBI)"	31.71	102.31	3950	4150	53	27903	"rhodotricha"	"scrub"	"red"	1	10		10	4	5	4.5	0	1	"DA"		"Growing among shrubs of small leaved Rhododendron"	"Corolla reddish purple, stem and lower surface of leaves darker reddish purple"	"Grassy meadow on south side of ridge"	" Rhododendron thickets giving way to Abies forest with decreasing elevation on north side of ridge"				
"1997 W Sichuan (A, CDBI)"	31.71	102.31	3950	4150	53	27904	"anas"	"meadow"	"yellow"	0	7		7	1		1	1	0	"DA"		"Grassy meadow"	"Corolla yellow"	"Grassy meadow on south side of ridge"	" Rhododendron thickets giving way to Abies forest with decreasing elevation on north side of ridge"				
"1997 W Sichuan (A, CDBI)"	31.85	102.67	4100	4350	54	27963	"streptorhyncha"	"meadow"	"red, white"	1	13	15	14	17		17	0	1	"A-lateral"		"Moist open areas on north side of ridge"	"Corolla purple, white in throat"	"Alpine meadows and Rhododendron  thickets along ridge on west side of highway"					
"1997 W Sichuan (A, CDBI)"	31.85	102.67	4100	4350	54	27966	"anas"	"meadow"	"yellow"	0	7		7	1		1	1	0	"DA"		"Ridge crest"	"Abundant"	" corolla yellow"	"Alpine meadows and Rhododendron  thickets along ridge on west side of highway"				
"1997 W Sichuan (A, CDBI)"	31.85	102.67	4100	4350	54	27967	"davidii"	"meadow"	"red"	1	10	12	11	1		1	0	1	"VA"		"Ridge crest"	"Corolla purple"	"Alpine meadows and Rhododendron  thickets along ridge on west side of highway"					
"1997 W Sichuan (A, CDBI)"	31.85	102.67	4100	4350	54	27968	"lasiophrys"	"meadow"	"yellow"	1	8	10	9	1		1	0	1	"DA"		"Ridge crest"	"Corolla yellow"	"Alpine meadows and Rhododendron  thickets along ridge on west side of highway"					
"1997 W Sichuan (A, CDBI)"	31.93	102.66	2400	0	55	27941	"petitmenginii"	"forest"	"yellow, red"	1	6		6	6		6	0	1	"A-lateral"		"Moist areas near stream"	"Corolla pale yellow, beak purple"	"Mixed Picea - Abies forest with broadleaved deciduous understory"					
"1997 W Sichuan (A, CDBI)"	31.93	102.66	2400	0	55	27942	"lineata"	"forest"	"red"	0	10		10	0		0	1	0	"DT"		"Moist areas near stream"	"Corolla pink"	"Mixed Picea - Abies forest with broadleaved deciduous understory"					
"1998 W Sichuan (A, KUN)"	29.39	100.15	4500	4600	65	28070	"rhynchodonta"	"scrub"	"red, white"	1	11		11	0		0	1	0	"DA"		"Growing amongst Rhododendron"	"Gale dark purple, lower corolla lip pale pink with dark purple veins, throat and tube white"	"Boulder strewn, previously glaciated area adjacent to remnant glacial lake"					
"1998 W Sichuan (A, KUN)"	29.39	100.15	4500	4600	65	28071	"anas"	"scrub"	"red"	0	7		7	1		1	1	0	"DA"		"Along stream in very moist area"	"Corolla pinkish purple"	"Boulder strewn, previously glaciated area adjacent to remnant glacial lake"					
"1998 W Sichuan (A, KUN)"	29.39	100.15	4500	4600	65	28058	"przewalskii"	"meadow"	"red, white"	1	30	35	32.5	5	6	5.5	0	1	"VA"		"Grassy places"	"Flowers pinkish purple, tube paler, throat white"	"Boulder strewn, previously glaciated area adjacent to remnant glacial lake"					
"1998 W Sichuan (A, KUN)"	29.39	100.15	4500	4600	65	28066	"lachnoglossa"	"scrub"	"red"	1	11		11	4		4	0	1	"VA"		"Growing among boulders"	"Corolla pinkish purple, galea darker"	"Boulder strewn, previously glaciated area adjacent to remnant glacial lake"					
"1998 W Sichuan (A, KUN)"	29.14	100.16	3930	0	69	28127	"rhinanthoides"	"scrub"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"		"In moist area beside small trickle"	"Corolla pinkish purple with white throat"	"Mixed shrub (Lonicera, Berberis, Salix)"					
"1998 W Sichuan (A, KUN)"	29.13	100.04	4600	4700	70	28184	"rhynchodonta"	"scrub"	"red"	1	11		11	0		0	1	0	"DA"		"Moist, stony soil"	"Galea dark purple, lower lip pink"	"Disturbed, shrub-grassland (with Salix, Sibiraea, Lonicera) heavily grazed by livestock"					
"1998 W Sichuan (A, KUN)"	29.13	100.04	4600	4700	70	28186	"tatsienensis"	"scrub"	"red"	0	12		12	2	3	2.5	0	0	"DA"		"Wet, muddy soil at edge of small stream"	"Galea dark pink purple, lower lip paler"	"Disturbed, shrub-grassland (with Salix, Sibiraea, Lonicera) heavily grazed by livestock"					
"1998 W Sichuan (A, KUN)"	29.13	100.04	4600	4700	70	28187	"siphonantha"	"scrub"	"red, white"	1	40	70	55	11		11	0	1	"T-lateral"		"Wet, muddy soil at edges of small streams and seepages"	"Corolla dark ink purple with white throat"	"Disturbed, shrub-grassland (with Salix, Sibiraea, Lonicera) heavily grazed by livestock"					
"1998 W Sichuan (A, KUN)"	29.13	100.04	4600	4700	70	28190	"rupicola"	"scrub"	"red, white"	0	10		10	0		0	1	0	"DT"		"Scattered around Rhododendron and Thermopsis in stony soil"	"Corolla pink, gales slightly darker, lower lip white towards throat and with darker veins"	"Disturbed, shrub-grassland (with Salix, Sibiraea, Lonicera) heavily grazed by livestock"					
"1998 W Sichuan (A, KUN)"	28.6	100.29	3300	0	71	28210	"pseudomelampyriflora"	"scrub"	"white, red"	0	10		10.5	0		10.5	1	0	"DT"		"Edges of cultivated fields and in thickets"	"Corolla white with purple stripes in throat"	"Spiny-aromatic shrub thickets and moist ravines with Rosa, Sophora, Berchemia, Prinsepia and shrubby Lamiaceae"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28264	"rhinanthoides"	"scrub"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"		"Edge of thickets in moist soil"	"Corolla pink purple with white throat"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28240	"lachnoglossa"	"scrub"	"red"	1	11		11	4		4	0	1	"VA"	"shade"	"In thickets"	"Corolla pink purple"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28244	"trichocymba"	"scrub"	"yellow"	1	16	20	18	2		2	0	1	"DA"		"Dry gravelly slopes among shrubs"	"Corolla yellow"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28246	"axillaris"	"scrub"	"red"	1	12		12	1		1	0	1	"VA"		"Dry slope"	"Corolla pink"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28270	"longiflora"	"meadow"	"yellow, red"	1	40	70	55	6		6	0	1	"T-lateral"	"meadow"	"Wet meadow"	"Corolla yellow with two dark spots on lower lip"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28271	"confertiflora"	"meadow"	"red, white"	0	12		12	7		7	0	1	"VA"	"meadow"	"Wet meadow"	"Corolla pink, throat white"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28272	"siphonantha"	"meadow"	"red, white"	1	40	70	55	11		11	0	1	"T-lateral"	"meadow"	"Wet meadow"	"Corolla pink purple, throat white"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.75	100.27	3870	0	72	28273	"integrifolia"	"meadow"	"red, white"	0	20		20	15		15	0	1	"VA"	"meadow"	"Meadow"	"Flowers pink-purple with white tube"	"Mixed shrub (Rhododendron, Salix, Quercus) and wet meadows"					
"1998 W Sichuan (A, KUN)"	28.9	100.29	4460	4650	74	28297	"likiangensis"	"scrub"	"red"	0	7		7	0		0	1	0	"DT"		"Open gravelly slopes"	"Corolla pink"	"Dwarf Rhododendron scrub, alpine meadows and gravelly slide areas"					
"1998 W Sichuan (A, KUN)"	28.9	100.29	4460	4650	74	28300	"przewalskii"	"scrub"	"red"	1	30	35	32.5	5	6	5.5	0	1	"VA"		"Around shrubs of dwarf Rhododendron on stony slope"	"Plants scattered"	" corolla pink"	"Dwarf Rhododendron scrub, alpine meadows and gravelly slide areas"				
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28362	"axillaris"	"forest"	"red"	1	12		12	1		1	0	1	"VA"	"shade"	"On dry slopes under Picea and Rhododendron"	"Corolla pink"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28395	"lachnoglossa"	"forest"	"red"	1	11		11	4		4	0	1	"VA"	"shade"	"Pine-oak forest"	"Corolla pink purple"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28411	"trichocymba"	"forest"	"yellow"	1	16	20	18	2		2	0	1	"DA"	"shade"	"Oak-pine forest and forest margins"	"Corolla pale yellow"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28415	"densispica"	"forest"	"red, yellow"	0	6	8	7	0		0	1	1	"DA"	"shade"	"On slope in pine-oak forest"	"Corolla pink with yellow galea"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28416	"rex"	"forest"	"yellow, red"	0	20	25	22.5	0		0	1	1	"DT"	"shade"	"On slope in pine-oak forest and in moist areas along stream"	"Corolla yellow, apex of galea purple"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.93	3550	4000	76	28522	"cranolopha"	"forest"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"	"open"	"Recent landslides"	"Corolla pale yellow with darker yellow throat and galea"	"West facing slopes and seepages in mixed coniferous forest (Picea, Abies, Pinus)"					
"1998 W Sichuan (A, KUN)"	29.14	99.96	3700	0	77	28435	"gyrorhyncha"	"forest"	"yellow, red"	0	8		8	8	9	8.5	0	1	"hindLeg"	"open"	"Open grassy place"	"Corolla pale yellow with dark purple galea"	"Salix, Picea and Betula forest along river"					
"1998 W Sichuan (A, KUN)"	29.12	100	4000	4300	78	28478	"cyathophylla"	"forest"	"red"	0	35	55	45	7		7	0	1	"DT"	"shade"	"Under Juniperus in moist soil"	"Corolla pink, galea darker"	"Quercus forest and mixed conifers along streams on slopes"					
"1998 W Sichuan (A, KUN)"	29.12	100	4000	4300	78	28484	"rupicola"	"forest"	"red"	0	10		10	0		0	1	0	"DT"	"open"	"Clearing in Quercus forest with mixture of conifers"	"Corolla pale pink"	"Quercus forest and mixed conifers along streams on slopes"					
"1998 W Sichuan (A, KUN)"	29.11	99.91	3040	3100	79	28583	"thamnophila"	"scrub"	"yellow"	0	14	16	15	0		0	1	0	"DT"		"Under shrubs in moist soil"	"Corolla yellow"						
"1998 W Sichuan (A, KUN)"	29.11	99.91	3040	3100	79	28584	"densispica"	"scrub"	"red, yellow"	0	6	8	7	0		0	1	1	"DA"		"On ridge among shrubs"	"Lower lip pink, galea yellow"						
"1998 W Sichuan (A, KUN)"	29.11	100.03	4350	0	81	28603	"integrifolia"	"meadow"	"red, white"	0	20		20	15		15	0	1	"VA"		"Meadow near lake and on slope"	"Corolla purple, throat white"	"Meadows and dwarf Rhododendron-Spiraea-Berberis scrub"					
"1998 W Sichuan (A, KUN)"	29.11	100.03	4350	0	81	28607	"kansuensis"	"meadow"	"red"	0	10	12	11	0		0	1	0	"DT"		"Meadow and around shrubs"	"Corolla pink-purple"	"Meadows and dwarf Rhododendron-Spiraea-Berberis scrub"					
"1998 W Sichuan (A, KUN)"	29.11	100.03	4350	0	81	28612	"rupicola"	"meadow"	"red"	0	10		10	0		0	1	0	"DT"		"Meadow"	"Corolla pink"	"Meadows and dwarf Rhododendron-Spiraea-Berberis scrub"					
"1998 W Sichuan (A, KUN)"	29.11	100.03	4350	0	81	28613	"rhodotricha"	"meadow"	"red"	1	10		10	4	5	4.5	0	1	"DA"		"Hilltop meadow"	"Corolla purple"	"Meadows and dwarf Rhododendron-Spiraea-Berberis scrub"					
"1998 W Sichuan (A, KUN)"	29.11	100.03	4350	0	81	28624	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"		"Meadow"	"Corolla pinkish purple, throat white"	"Meadows and dwarf Rhododendron-Spiraea-Berberis scrub"					
"1998 W Sichuan (A, KUN)"	29.13	99.98	3800	4050	82	28650	"glabrescens"	"scrub"	"red"	0	8	9	8.5	0		0	1	0	"DT"	"shade"	"Under Salix"	"Corolla pink with dark purple stripes on lower lip"	"Salix meadow along river and remnant forest of Abies, Picea and Sorbus"					
"1998 W Sichuan (A, KUN)"	29.15	100.04	4700	0	83	28664	"muscoides"	"meadow"	"yellow"	1	11		11	0		0	1	0	"DA"		"Alpine meadow"	"Corolla yellow"	" calyx with reddish reticulate veins"	"Alpine meadows, dwarf Rhododendron scrub and rock fields"				
"1998 W Sichuan (A, KUN)"	29.1	99.63	3450	3650	84	28744	"axillaris"	"scrub"	"red"	1	12		12	1		1	0	1	"VA"		"Conifer slope"	"Prostrate"	" flower pink"	"Dry slopes with Cut over Quercus, Pinus, Berberis, Cotoneaster"				
"1998 W Sichuan (A, KUN)"	29.1	99.63	3450	3650	84	28746	"cranolopha"	"scrub"	"yellow, white"	1	36	40	45	7	8	7.5	0	1	"T-lateral"	"open"	"Grazed area along stream"	"Corolla yellow"	" lower lip white"	"Dry slopes with Cut over Quercus, Pinus, Berberis, Cotoneaster"				
"1998 W Sichuan (A, KUN)"	29.1	99.63	3450	3650	84	28702	"pseudomelampyriflora"	"scrub"	"white, red"	0	9	12	10.5	9	12	10.5	1	0	"DT"		"Gravelly slope among shrubs"	"Plants to 1 m tall"	" corolla white or sometimes pink with purple lines in throat"	"Dry slopes with Cut over Quercus, Pinus, Berberis, Cotoneaster"				
"1998 W Sichuan (A, KUN)"	29.07	99.63	3700	3900	89	28872	"rhodotricha"	"scrub"	"red"	1	10		10	4	5	4.5	0	1	"DA"		"Quercus scrub at 3900 m"	"Corolla purple"	"Quercus forest with tall Rhododendron and Rosa and meadows with Kobresia ad Pedicularis and Quercus scrub at lower elevations"					
"1998 W Sichuan (A, KUN)"	29.07	99.63	3700	3900	89	28873	"dolichoglossa"	"scrub"	"yellow, red"	0	12		12	0		0	1	0	"DA"	"open"	"Quercus scrub in open at 3900 m, with Aster, Kobresia, Nardostachys"	"Galea yellow with specks, lower lip pale pink"	"Quercus forest with tall Rhododendron and Rosa and meadows with Kobresia ad Pedicularis and Quercus scrub at lower elevations"					
"1998 W Sichuan (A, KUN)"	29.07	99.68	3400	0	90	28910	"integrifolia"	"meadow"	"red, white"	0	20		20	15		15	0	1	"VA"		"Open Kobresia meadow"	"Corolla dark pink, throat white"	"Quercus-Picea-Abies forest with interspersed meadows on W side of river"					
"1998 W Sichuan (A, KUN)"	29.05	99.71	3450	3800	91	28967	"thamnophila"	"forest"	"yellow"	0	14	16	15	0		0	1	0	"DT"		"Pinus densata forest"	"Corolla pale yellow"	"Remnant Picea-Quercus-Prunus-Salix forest and adjacent openings and loose stony slopes"	" mostly intact Quercus and mixed conifer forests from 3750 m to tree line"				
"1998 W Sichuan (A, KUN)"	29	99.74	4200	4270	92	28979	"rhodotricha"	"scrub"	"red"	1	10		10	4	5	4.5	0	1	"DA"		"Gravelly soil around dwarf Rhododendron"	"Plants colonial from deeply buried tap root and filiform stolons, fertile shoots surrounded by smaller sterile shoots"	" corolla purple"	"Open barren area at pass with scattered Quercus scrub and scattered Larix and Picea"				
"1998 W Sichuan (A, KUN)"	29	99.74	4200	4270	92	28992	"kansuensis"	"scrub"	"red"	0	10	12	11	0		0	1	0	"DT"		"Scrubby areas above road on S side of pass"	"Corolla uniformly dark purple"	"Open barren area at pass with scattered Quercus scrub and scattered Larix and Picea"					
"1998 W Sichuan (A, KUN)"	29	99.74	4200	4270	92	28998	"roylei"	"gravel"	"red"	0	10	11	10.5	0		0	1	0	"DT"		"Gravelly soil"	"Corolla pink with dark stripes on lower lip"	"Open barren area at pass with scattered Quercus scrub and scattered Larix and Picea"					
"1998 W Sichuan (A, KUN)"	28.77	99.87	2920	0	94	29034	"dichotoma"	"gravel"	"red, white"	0	13	15	14	10		10	1	1	"VA"		"Steep gravelly slope"	"Galea dark pink"	" lower lip pale pink"	" throat white"	"Spinescent shrub community on dry, stony slopes above the Souqu River"			
"1998 W Sichuan (A, KUN)"	28.79	99.84	2700	0	96	29016	"dichotoma"	"meadow"	"red, white"	0	13	15	14	10		10	1	1	"VA"		"Meadow near marshland under shrubs"	"Galea dark pink, remainder of corolla pink or white"	"Spinescent shrub community on dry, stony slopes above Souqu River"					
"1998 W Sichuan (A, KUN)"	28.79	99.84	2700	0	96	29060	"longiflora"	"meadow"	"yellow, red"	1	40	70	55	6		6	0	1	"T-lateral"		"Wet meadow"	"Corolla yellow with two dark spots on lower lip"	"Spinescent shrub community on dry, stony slopes above Souqu River"					
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29113	"cyathophylla"	"forest"	"red"	0	35	55	45	7		7	0	1	"DT"		"Juniperus forest"	"Corolla pink or pale pink, sometimes white"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"					
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29116	"elwesii"	"forest"	"red"	1	10		10	1		1	0	1	"T-lateral"	"open"	"Meadow in Juniperus forest"	"Corolla pink purple"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"					
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29117	"mussotii"	"forest"	"red"	1	7	10	8.5	7	11	9	0	1	"DA"	"open"	"Meadow in Juniperus forest"	"Corolla pink purple"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"					
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29333	"rhodotricha"	"forest"	"red"	1	10		10	4	5	4.5	0	1	"DA"	"open"	"Margins of Rhododendron shrubs on steep slope"	"Corolla purple"	" anthers exserted from sides of corolla, yellow"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"				
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29236	"dolichoglossa"	"forest"	"yellow"	0	12		12	0		0	1	0	"DA"	"open"	"Grassy opening"	"Corolla pale yellow with brown specks all over corolla but with most on galea"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"					
"1998 W Sichuan (A, KUN)"	28.59	99.85	4100	4300	97	29237	"brevilabris"	"forest"	"white, red"	0	8		17.5	0		1	1	0	"DA"	"open"	"Grassy opening in forest"	"Corolla white with pink at apex of galea"	"Mixed Abies-Larix-Picea-Juniperus forest with large Rhododendron and open talus slopes and meadows"					
"1998 W Sichuan (A, KUN)"	28.59	99.84	4250	4600	99	29129	"rhodotricha"	"scrub"	"red"	1	10		10	4	5	4.5	0	1	"DA"		"In and at margin of dwarf Rhododendron"	"Corolla purple"	"Alpine meadows and vegetated slopes and scree"					
"1998 W Sichuan (A, KUN)"	28.59	99.84	4250	4600	99	29144	"confertiflora"	"scrub"	"red, white"	0	12		12	7		7	0	1	"VA"		"Sheltered area at base or rhododendrons and among Potentilla anserina"	"Corolla pink with white throat"	"Alpine meadows and vegetated slopes and scree"					
